New York Harbor Conventional Gasoline Regular Spot Price FOB
https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=pet&s=eer_epmru_pf4_y35ny_dpg&f=m
21:55:59 GMT+0530 (India Standard Time)
Data Source: Thomson Reuters
Month,New York Harbor Conventional Gasoline Regular Spot Price FOB Dollars per Gallon
Oct 2023,2.524
Sep 2023,2.894
Aug 2023,2.874
Jul 2023,2.7
Jun 2023,2.659
May 2023,2.57
Apr 2023,2.765
Mar 2023,2.515
Feb 2023,2.532
Jan 2023,2.593
Dec 2022,2.366
Nov 2022,2.852
Oct 2022,3.013
Sep 2022,2.642
Aug 2022,3.027
Jul 2022,3.484
Jun 2022,4.082
May 2022,3.828
Apr 2022,3.193
Mar 2022,3.184
Feb 2022,2.739
Jan 2022,2.449
Dec 2021,2.203
Nov 2021,2.39
Oct 2021,2.5
Sep 2021,2.284
Aug 2021,2.235
Jul 2021,2.257
Jun 2021,2.167
May 2021,2.116
Apr 2021,1.988
Mar 2021,1.986
Feb 2021,1.761
Jan 2021,1.563
Dec 2020,1.359
Nov 2020,1.19
Oct 2020,1.201
Sep 2020,1.227
Aug 2020,1.248
Jul 2020,1.22
Jun 2020,1.121
May 2020,0.876
Apr 2020,0.593
Mar 2020,0.891
Feb 2020,1.58
Jan 2020,1.658
Dec 2019,1.713
Nov 2019,1.724
Oct 2019,1.728
Sep 2019,1.726
Aug 2019,1.694
Jul 2019,1.89
Jun 2019,1.74
May 2019,1.916
Apr 2019,2.042
Mar 2019,1.812
Feb 2019,1.568
Jan 2019,1.425
Dec 2018,1.449
Nov 2018,1.625
Oct 2018,2.028
Sep 2018,2.093
Aug 2018,2.077
Jul 2018,2.074
Jun 2018,2.03
May 2018,2.129
Apr 2018,1.995
Mar 2018,1.834
Feb 2018,1.817
Jan 2018,1.899
Dec 2017,1.757
Nov 2017,1.83
Oct 2017,1.715
Sep 2017,1.867
Aug 2017,1.688
Jul 2017,1.562
Jun 2017,1.445
May 2017,1.54
Apr 2017,1.611
Mar 2017,1.492
Feb 2017,1.547
Jan 2017,1.62
Dec 2016,1.634
Nov 2016,1.462
Oct 2016,1.522
Sep 2016,1.438
Aug 2016,1.379
Jul 2016,1.354
Jun 2016,1.506
May 2016,1.566
Apr 2016,1.448
Mar 2016,1.201
Feb 2016,1.058
Jan 2016,1.121
Dec 2015,1.276
Nov 2015,1.377
Oct 2015,1.397
Sep 2015,1.46
Aug 2015,1.62
Jul 2015,1.86
Jun 2015,2.005
May 2015,1.938
Apr 2015,1.793
Mar 2015,1.644
Feb 2015,1.607
Jan 2015,1.364
Dec 2014,1.683
Nov 2014,2.165
Oct 2014,2.398
Sep 2014,2.721
Aug 2014,2.705
Jul 2014,2.802
Jun 2014,2.896
May 2014,2.862
Apr 2014,2.896
Mar 2014,2.753
Feb 2014,2.795
Jan 2014,2.672
Dec 2013,2.736
Nov 2013,2.673
Oct 2013,2.685
Sep 2013,2.797
Aug 2013,2.933
Jul 2013,2.924
Jun 2013,2.74
May 2013,2.742
Apr 2013,2.706
Mar 2013,2.914
Feb 2013,3.053
Jan 2013,2.852
Dec 2012,2.727
Nov 2012,2.817
Oct 2012,2.975
Sep 2012,3.27
Aug 2012,3.022
Jul 2012,2.747
Jun 2012,2.602
May 2012,2.877
Apr 2012,3.206
Mar 2012,3.167
Feb 2012,3.044
Jan 2012,2.822
Dec 2011,2.634
Nov 2011,2.629
Oct 2011,2.772
Sep 2011,2.768
Aug 2011,2.835
Jul 2011,3.021
Jun 2011,2.835
May 2011,3.024
Apr 2011,3.178
Mar 2011,2.838
Feb 2011,2.558
Jan 2011,2.448
Dec 2010,2.389
Nov 2010,2.244
Oct 2010,2.164
Sep 2010,1.969
Aug 2010,1.943
Jul 2010,1.995
Jun 2010,2.014
May 2010,2.019
Apr 2010,2.227
Mar 2010,2.14
Feb 2010,1.963
Jan 2010,2.04
Dec 2009,1.919
Nov 2009,1.983
Oct 2009,1.924
Sep 2009,1.779
Aug 2009,1.93
Jul 2009,1.75
Jun 2009,1.906
May 2009,1.689
Apr 2009,1.379
Mar 2009,1.288
Feb 2009,1.216
Jan 2009,1.146
Dec 2008,0.956
Nov 2008,1.283
Oct 2008,1.92
Sep 2008,2.805
Aug 2008,2.897
Jul 2008,3.148
Jun 2008,3.292
May 2008,3.098
Apr 2008,2.762
Mar 2008,2.504
Feb 2008,2.381
Jan 2008,2.334
Dec 2007,2.33
Nov 2007,2.424
Oct 2007,2.169
Sep 2007,2.102
Aug 2007,2.004
Jul 2007,2.137
Jun 2007,2.186
May 2007,2.245
Apr 2007,2.105
Mar 2007,1.938
Feb 2007,1.64
Jan 2007,1.432
Dec 2006,1.67
Nov 2006,1.588
Oct 2006,1.506
Sep 2006,1.583
Aug 2006,2.038
Jul 2006,2.237
Jun 2006,2.065
May 2006,2.042
Apr 2006,2.135
Mar 2006,1.765
Feb 2006,1.499
Jan 2006,1.735
Dec 2005,1.6
Nov 2005,1.47
Oct 2005,1.709
Sep 2005,2.133
Aug 2005,1.937
Jul 2005,1.591
Jun 2005,1.509
May 2005,1.371
Apr 2005,1.48
Mar 2005,1.439
Feb 2005,1.224
Jan 2005,1.241
Dec 2004,1.068
Nov 2004,1.267
Oct 2004,1.377
Sep 2004,1.261
Aug 2004,1.206
Jul 2004,1.225
Jun 2004,1.153
May 2004,1.344
Apr 2004,1.119
Mar 2004,1.091
Feb 2004,1.047
Jan 2004,0.998
Dec 2003,0.885
Nov 2003,0.882
Oct 2003,0.875
Sep 2003,0.903
Aug 2003,1.007
Jul 2003,0.873
Jun 2003,0.808
May 2003,0.76
Apr 2003,0.799
Mar 2003,0.955
Feb 2003,0.996
Jan 2003,0.879
Dec 2002,0.808
Nov 2002,0.766
Oct 2002,0.826
Sep 2002,0.778
Aug 2002,0.769
Jul 2002,0.766
Jun 2002,0.717
May 2002,0.703
Apr 2002,0.744
Mar 2002,0.698
Feb 2002,0.553
Jan 2002,0.544
Dec 2001,0.517
Nov 2001,0.517
Oct 2001,0.598
Sep 2001,0.761
Aug 2001,0.776
Jul 2001,0.683
Jun 2001,0.72
May 2001,0.927
Apr 2001,0.947
Mar 2001,0.785
Feb 2001,0.826
Jan 2001,0.829
Dec 2000,0.737
Nov 2000,0.944
Oct 2000,0.948
Sep 2000,0.961
Aug 2000,0.872
Jul 2000,0.859
Jun 2000,0.963
May 2000,0.888
Apr 2000,0.729
Mar 2000,0.889
Feb 2000,0.816
Jan 2000,0.705
Dec 1999,0.703
Nov 1999,0.696
Oct 1999,0.627
Sep 1999,0.688
Aug 1999,0.639
Jul 1999,0.583
Jun 1999,0.489
May 1999,0.492
Apr 1999,0.501
Mar 1999,0.423
Feb 1999,0.317
Jan 1999,0.343
Dec 1998,0.307
Nov 1998,0.372
Oct 1998,0.435
Sep 1998,0.429
Aug 1998,0.403
Jul 1998,0.423
Jun 1998,0.439
May 1998,0.482
Apr 1998,0.47
Mar 1998,0.447
Feb 1998,0.449
Jan 1998,0.478
Dec 1997,0.518
Nov 1997,0.557
Oct 1997,0.584
Sep 1997,0.623
Aug 1997,0.705
Jul 1997,0.587
Jun 1997,0.551
May 1997,0.621
Apr 1997,0.587
Mar 1997,0.613
Feb 1997,0.624
Jan 1997,0.674
